trait_name,ontology mapable,"needed, not in ontologies",tissue,category,other_tags,nrow,description,Saatkamp_2018,TRY name,TRY number,TRY notes,TOP_trait,Top_identifier,Top_link,Top_link_date,NOTES,proposed_name_changes,workshop (or review),,
bark_S_per_dry_mass,,,bark,nutrient,,NA,NA,,Bark sulfur (S) content per bark dry mass,2963,NA,bark sulfur content per bark dry mass,TOP390,https://top-thesaurus.org/annotationInfo?viz=1&&trait=Bark_sulfur_content_per_bark_dry_mass,20210518,,nutrient_bark_S_content_per_dry_mass,,chemical >element/nutrient,
bark_tannin_per_dry_mass,,,bark,nutrient,chemical_defence,NA,NA,,NA,NA,NA,NA,NA,NA,Not in TOP,,chemical_bark_tannin_content_per_dry_mass,,chemical > compound,
bark_thickness,,,bark,morphology,,2,Thickness of the bark of the stem,,Bark thickness,"24, 3355, 3356",NA,stem bark thickness,TOP283,https://top-thesaurus.org/annotationInfo?viz=1&&trait=Bark_thickness,20210518,,bark_thickness,,biomass > mass_or_size,
bark_water_content_per_dry_mass,,,bark,allocation,plant_hydraulics,NA,NA,,NA,NA,NA,NA,NA,NA,Not in TOP,,bark_water_content_per_dry_mass,,biomass > allocation,
bark_water_content_per_saturated_mass,,,bark,allocation,plant_hydraulics,NA,NA,,NA,NA,NA,NA,NA,NA,Not in TOP,,bark_water_content_per_saturated_mass,,biomass > allocation,
bark_Zn_per_dry_mass,,,bark,nutrient,,NA,NA,,"	Bark zinc (Zn) content per bark dry mass",2964,NA,bark zinc content per bark dry mass,TOP391,https://top-thesaurus.org/annotationInfo?viz=1&&trait=Bark_zinc%20content%20per%20bark%20dry%20mass,20210518,,nutrient_bark_Zn_content_per_dry_mass,,chemical >element/nutrient,
basal_diameter,,,stem,morphology,,199,"Diameter at the base of the plant, standardly ""DBH"" except in short plants",,Stem diameter,21,NA,NA,NA,NA,Not in TOP,,basal_diameter_maximum,,biomass > allocation,
branch_mass_fraction,,,stem,allocation,,3,Fraction of plant dry mass comprised of branch material,,Plant biomass and allometry: branch dry mass per plant dry mass,137,NA,NA,NA,NA,Not in TOP,,,,biomass > allocation,
bulk_modulus_of_elasticity,,,stem,physiology,plant_hydraulics,NA,NA,,Leaf elastic modulus,190,NA,NA,NA,NA,Not in TOP,,,(water transport review),physiology > water_transport,
ca,,,leaf,physiology,gas_exchange; photosynthetic,NA,NA,,NA,NA,NA,NA,NA,NA,Not in TOP,,leaf_external_carbon_dioxide_concentration,(gas exchange/fluor minor review),physiology > gas_exchange > carbon_dioxide_concentration,
calcicole_status,,,whole_plant,life history,environmental_tolerance,NA,NA,,"Dichotonmous variable, defining plants as calcifuge (intolerant of basic soils) versus calcicole (tolerant of basic soils, such as calcareous sands and limestone derived soils)",NA,NA,plant populations reaction indicator value according to Ellenberg,TOP781,https://top-thesaurus.org/annotationInfo?viz=1&&trait=Ellenberg_reaction_value,20210519,not an exact match,,(environmental tolerance),life_history > environmental_tolerance,
carotenoid_per_area,,,leaf,nutrient,chemical_defence,NA,NA,,Leaf carotenoid content per leaf area,491,NA,NA,NA,NA,Not in TOP,,chemical_leaf_carotenoid_content_per_area,,chemical > compound,
carotenoid_per_dry_mass,,,leaf,nutrient,chemical_defence,NA,NA,,Leaf carotenoid content per leaf dry mass,809,NA,NA,NA,NA,Not in TOP,,chemical_leaf_carotenoid_content_per_dry_mass,,chemical > compound,
cc,,,leaf,physiology,gas_exchange; photosynthetic,NA,NA,,Leaf photosynthesis CO2 concentration at chloroplast,3007,NA,NA,NA,NA,Not in TOP,,leaf_chloroplast_internal_carbon_dioxide_concentration,(gas exchange/fluor minor review),physiology > gas_exchange > carbon_dioxide_concentration,
cell_cross-sectional_area,,,leaf,morphology,cellular_scale,NA,NA,,Leaf epidermis cell area; Leaf mesophyll cell area,338; 573,NA,NA,NA,NA,Not in TOP,,cell_morphology_leaf_cell_cross-sectional_area,,morphology > cellular,
cell_epidermis_Ca_per_fresh_mass,,,leaf,nutrient,cellular_scale,5,Ca content of epidermal cells,,NA,NA,NA,NA,NA,NA,Not in TOP,,nutrient_cell_epidermis_Ca_content_per_fresh_mass,,chemical >element/nutrient,
cell_epidermis_P_per_fresh_mass,,,leaf,nutrient,cellular_scale,11,P content of epidermal cells,,NA,NA,NA,NA,NA,NA,Not in TOP,,nutrient_cell_epidermis_P_content_per_fresh_mass,,chemical >element/nutrient,
cell_hypodermis_Ca_per_fresh_mass,,,leaf,nutrient,cellular_scale,6,Ca content of hypodermis cells,,NA,NA,NA,NA,NA,NA,Not in TOP,,nutrient_cell_hypodermis_Ca_content_per_fresh_mass,,chemical >element/nutrient,
cell_hypodermis_P_per_fresh_mass,,,leaf,nutrient,cellular_scale,12,P content of hypodermis cells,,NA,NA,NA,NA,NA,NA,Not in TOP,,nutrient_cell_hypodermis_P_content_per_fresh_mass,,chemical >element/nutrient,
cell_internal_parenchyma_Ca_per_fresh_mass,,,leaf,nutrient,cellular_scale,7,Ca content of internal parenchyma cells,,NA,NA,NA,NA,NA,NA,Not in TOP,,nutrient_cell_internal_parenchyma_Ca_content_per_fresh_mass,,chemical >element/nutrient,
cell_internal_parenchyma_P_per_fresh_mass,,,leaf,nutrient,cellular_scale,13,P content of internal parenchyma cells,,NA,NA,NA,NA,NA,NA,Not in TOP,,nutrient_cell_internal_parenchyma_P_content_per_fresh_mass,,chemical >element/nutrient,
cell_palisade_mesophyll_Ca_per_fresh_mass,,,leaf,nutrient,cellular_scale,8,Ca content of palisade mesophyll cells,,NA,NA,NA,NA,NA,NA,Not in TOP,,nutrient_cell_palisade_mesophyll_Ca_content_per_fresh_mass,,chemical >element/nutrient,
cell_palisade_mesophyll_P_per_fresh_mass,,,leaf,nutrient,cellular_scale,14,P content of palisade mesophyll cells,,NA,NA,NA,NA,NA,NA,Not in TOP,,nutrient_cell_palisade_mesophyll_P_content_per_fresh_mass,,chemical >element/nutrient,
cell_rubisco_concentration,,,leaf,nutrient,molecular; photosynthetic,NA,NA,,Leaf Rubisco content per leaf area,504,"similar, not identical",NA,NA,NA,Not in TOP,,chemical_cell_rubisco_content_per_??_mass,,chemical > compound,need to verify if dry vs fresh mass
cell_rubisco_N_per_total_N,,,leaf,nutrient,molecular; photosynthetic,NA,NA,,Leaf nitrogen (N) fraction in Rubisco,187,NA,NA,NA,NA,Not in TOP,,chemical_cell_rubisco_N_content_per_total_N,,chemical > compound,"need to verify if ""total"" just leaves or whole plant"
cell_sclerenchyma_Ca_per_fresh_mass,,,leaf,nutrient,cellular_scale,9,Ca content of sclerenchyma cells,,NA,NA,NA,NA,NA,NA,Not in TOP,,nutrient_cell_sclerenchyma_Ca_content_per_fresh_mass,,chemical >element/nutrient,
cell_sclerenchyma_P_per_fresh_mass,,,leaf,nutrient,cellular_scale,15,P content of sclerenchyma cells,,NA,NA,NA,NA,NA,NA,Not in TOP,,nutrient_cell_sclerenchyma_P_content_per_fresh_mass,,chemical >element/nutrient,
cell_spongy_mesophyll_Ca_per_fresh_mass,,,leaf,nutrient,cellular_scale,10,Ca content of spongy mesophyll cells,,NA,NA,NA,NA,NA,NA,Not in TOP,,nutrient_cell_spongy_mesophyll_Ca_content_per_fresh_mass,,chemical >element/nutrient,
