trait_name,ontology mapable,"needed, not in ontologies",tissue,category,other_tags,nrow,description,Saatkamp_2018,TRY name,TRY number,TRY notes,TOP_trait,Top_identifier,Top_link,Top_link_date,NOTES,proposed_name_changes,workshop (or review),,
flower_filament,,,reproductive; flower,morphology,,NA,NA,,NA,NA,NA,NA,NA,NA,Not in TOP,,,MTS,morphology > reproductive > flower,
flower_filament_fusion,,,reproductive; flower,morphology,,NA,NA,,NA,NA,NA,NA,NA,NA,Not in TOP,,,MTS,morphology > reproductive > flower,
flower_filament_fusion_to_inner_perianth,,,reproductive; flower,morphology,,NA,NA,,NA,NA,NA,NA,NA,NA,Not in TOP,,,MTS,morphology > reproductive > flower,
flower_gynoecium_phyllotaxis,,,reproductive; flower,morphology,,NA,NA,,NA,NA,NA,NA,NA,NA,Not in TOP,,,MTS,morphology > reproductive > flower,
flower_gynoecium_placentation,,,reproductive; flower,morphology,,NA,NA,,NA,NA,NA,NA,NA,NA,Not in TOP,,,MTS,morphology > reproductive > flower,
flower_N_per_dry_mass,,,reproductive; flower,nutrient,,NA,NA,,NA,NA,NA,NA,NA,NA,Not in TOP,,nutrient_flower_N_content_per_dry_mass,,chemical >element/nutrient,
flower_ovary_fusion,,,reproductive; flower,morphology,,NA,NA,,NA,NA,NA,NA,NA,NA,Not in TOP,,,MTS,morphology > reproductive > flower,
flower_ovary_position,,,reproductive; flower,morphology,,NA,NA,,NA,NA,NA,NA,NA,NA,Not in TOP,,,MTS,morphology > reproductive > flower,
flower_ovules_per_functional_carpel_count,,,reproductive; flower,morphology,,NA,NA,,NA,NA,NA,NA,NA,NA,Not in TOP,,,MTS,morphology > reproductive > flower,
flower_perianth_differentiation,,,reproductive; flower,morphology,,NA,NA,,NA,NA,NA,NA,NA,NA,Not in TOP,,,MTS,morphology > reproductive > flower,
flower_perianth_fusion,,,reproductive; flower,morphology,,NA,NA,,NA,NA,NA,NA,NA,NA,Not in TOP,,,MTS,morphology > reproductive > flower,
flower_perianth_merism,,,reproductive; flower,morphology,,NA,NA,,NA,NA,NA,NA,NA,NA,Not in TOP,,,MTS,morphology > reproductive > flower,
flower_perianth_parts_count,,,reproductive; flower,morphology,,NA,NA,,NA,NA,NA,NA,NA,NA,Not in TOP,,,MTS,morphology > reproductive > flower,
flower_perianth_phyllotaxis,,,reproductive; flower,morphology,,NA,NA,,NA,NA,NA,NA,NA,NA,Not in TOP,,,MTS,morphology > reproductive > flower,
flower_perianth_symmetry,,,reproductive; flower,morphology,,NA,NA,,NA,NA,NA,NA,NA,NA,Not in TOP,,,MTS,morphology > reproductive > flower,
flower_perianth_whorls_count,,,reproductive; flower,morphology,,NA,NA,,NA,NA,NA,NA,NA,NA,Not in TOP,,,MTS,morphology > reproductive > flower,
flower_pollen_aperture_shape,,,reproductive; flower,morphology,,NA,NA,,NA,NA,NA,NA,NA,NA,Not in TOP,,,MTS,morphology > reproductive > flower,
flower_pollen_apertures_count,,,reproductive; flower,morphology,,NA,NA,,NA,NA,NA,NA,NA,NA,Not in TOP,,,MTS,morphology > reproductive > flower,
flower_structural_carpels_count,,,reproductive; flower,morphology,,NA,NA,,NA,NA,NA,NA,NA,NA,Not in TOP,,,MTS,morphology > reproductive > flower,
flower_structural_sex_type,,,reproductive; flower,life history,flower,NA,NA,,NA,NA,NA,NA,NA,NA,Not in TOP,,,MTS,life_history > reproductive,
flower_style_differentiation,,,reproductive; flower,morphology,,NA,NA,,NA,NA,NA,NA,NA,NA,Not in TOP,"partially captured by TOP trait ""flower heterostyly type""",,MTS,morphology > reproductive > flower,
flower_style_fusion,,,reproductive; flower,morphology,,NA,NA,,NA,NA,NA,NA,NA,NA,Not in TOP,,,MTS,morphology > reproductive > flower,
flowering_time,,,reproductive; flower,life history,flower,34,Months during which species is flowering; keyed as a sequences of 12 0s (not flowering) and 1s (flowering) starting with January,,NA,NA,NA,"plant flowering begin, plant flowering end","TOP292,  TOP293",https://top-thesaurus.org/annotationInfo?viz=1&&trait=Plant_flowering_begin_trait,20210518,,reproductive_flowering_time,seed and fruit traits,life_history > reproductive > flower,
fluorescence_Jmax_over_Vcmax,,,leaf,physiology,photosystem_performance; photosynthetic,NA,NA,,NA,NA,NA,NA,NA,NA,Not in TOP,,,(gas exchange/fluor minor review),physiology > photosystem_performance,
fluorescence_Jmax_per_mass,,,leaf,physiology,photosystem_performance; photosynthetic,NA,NA,,NA,NA,NA,NA,NA,NA,Not in TOP,,,(gas exchange/fluor minor review),physiology > photosystem_performance,
fluorescence_Vcmax_per_mass,,,leaf,physiology,photosystem_performance; photosynthetic,NA,NA,,Leaf photosynthesis carboxylation capacity (Vcmax) per leaf dry mass (Farquhar model),185,NA,NA,NA,NA,Not in TOP,,,(gas exchange/fluor minor review),physiology > photosystem_performance,
fruit_breadth,,,reproductive; fruit,morphology,,38,The shorter width dimension of a fruit; orthogonal to the length,,NA,NA,NA,fruit thickness ,TOP100,https://top-thesaurus.org/annotationInfo?viz=1&&trait=Fruit_thickness,20210518,Seed/fruit breadth seems to be used much less frequently than thickness (or even height or depth). Curious why we're using breadth (it is in some online AU floras),reproductive_morphology_fruit_thickness,seed and fruit traits,morphology > reproductive > fruit,
fruit_Ca_per_dry_mass,,,reproductive; fruit,nutrient,,NA,NA,,NA,NA,NA,NA,NA,NA,Not in TOP,,nutrient_fruit_Ca_content_per_dry_mass,,chemical >element/nutrient,
fruit_K_per_dry_mass,,,reproductive; fruit,nutrient,,NA,NA,,NA,NA,NA,NA,NA,NA,Not in TOP,,nutrient_fruit_K_content_per_dry_mass,,chemical >element/nutrient,
fruit_length,,,reproductive; fruit,morphology,,37,Longest fruit dimension or if clearly recognizable the length from its base to its apex,,Fruit length,918,NA,fruit length,TOP92,https://top-thesaurus.org/annotationInfo?viz=1&&trait=Fruit_length,20210518,,reproductive_morphology_fruit_length,seed and fruit traits,morphology > reproductive > fruit,
fruit_mass,,,reproductive; fruit,morphology,,35,"The weight of a fruit, including the seed",,Fruit mass,919,NA,fruit dry mass,TOP112,https://top-thesaurus.org/annotationInfo?viz=1&&trait=Fruit_dry_mass,20210518,,fruit_mass,seed and fruit traits,morphology > reproductive > seed,
fruit_Mg_per_dry_mass,,,reproductive; fruit,nutrient,,NA,NA,,NA,NA,NA,NA,NA,NA,Not in TOP,,nutrient_fruit_Mg_content_per_dry_mass,,chemical >element/nutrient,
fruit_N_per_dry_mass,,,reproductive; fruit,nutrient,,NA,NA,,NA,NA,NA,NA,NA,NA,Not in TOP,,nutrient_fruit_N_content_per_dry_mass,,chemical >element/nutrient,
fruit_P_per_dry_mass,,,reproductive; fruit,nutrient,,NA,NA,,NA,NA,NA,NA,NA,NA,Not in TOP,,nutrient_fruit_P_content_per_dry_mass,,chemical >element/nutrient,
fruit_S_per_dry_mass,,,reproductive; fruit,nutrient,,NA,NA,,NA,NA,NA,NA,NA,NA,Not in TOP,,nutrient_fruit_S_content_per_dry_mass,,chemical >element/nutrient,
fruit_type,,,reproductive; fruit,morphology,,39,Fruit types,,Fruit type,99,NA,NA,NA,NA,Not in TOP,,reproductive_morphology_fruit_type_detailed,seed and fruit traits,morphology > reproductive > fruit,
fruit_type_botanical,,,reproductive; fruit,morphology,,NA,NA,,Fruit type,99,"similar, not identical",NA,NA,NA,Not in TOP,,reproductive_morphology_fruit_type_binary,seed and fruit traits,morphology > reproductive > fruit,"Could 'fruit_type' be nested within these two types (fleshy vs dry) or is that too constraining? In that case should there be an overarching ""fruit_type"" with three nested traits?"
fruit_type_functional,,,reproductive; fruit,morphology,,NA,NA,,Fruit type,99,"similar, not identical",NA,NA,NA,Not in TOP,,reproductive_morphology_fruit_dispersal_unit_type_binary,seed and fruit traits,morphology > reproductive > fruit,
fruit_wall_width,,,reproductive; fruit,morphology,,NA,NA,,NA,NA,NA,NA,NA,NA,Not in TOP,,reproductive_morphology_fruit_wall_width,seed and fruit traits,morphology > reproductive > fruit,
fruit_width,,,reproductive; fruit,morphology,,36,The longest width dimension of a fruit; orthogonal to the length,,Fruit diameter,917,NA,fruit width,TOP96,https://top-thesaurus.org/annotationInfo?viz=1&&trait=Fruit_width,20210518,,reproductive_morphology_fruit_width,seed and fruit traits,morphology > reproductive > fruit,
fruiting_time,,,reproductive; fruit,life history,,42,Months during which species is fruiting; keyed as a sequences of 12 0s (not flowering) and 1s (flowering) starting with January,seasonality of seed release,NA,NA,NA,NA,NA,NA,Not in TOP,,reproductive_fruiting_time,seed and fruit traits,life_history > reproductive > fruit,
fv_over_fm,,,leaf,physiology,photosystem_performance; photosynthetic,43,Chlorophyll fluorescence measurement that indicates whether plant stress affects photosystem II in a dark adapted state,,Leaf photosynthesis: quantum efficiency of photosystem II (maximum potential; FvFm),3393,NA,NA,NA,NA,Not in TOP,,,(gas exchange/fluor minor review),physiology > photosystem_performance,
genome_size,,,whole_plant,life history,molecular,46,Mass of the plant's genome,,Species genotype: genome size,1022,NA,NA,NA,NA,Not in TOP,,reproductive_genome_size,,life_history??,
germination,,,reproductive; seed,life history,germination,44,Proportion of seeds that germinate,,Seed germination rate (germination efficiency),95,NA,NA,NA,NA,Not in TOP,,,,life_history > reproductive,
germination_treatment,,,reproductive; seed,life history,germination,45,Seed treatment required for germination,response to chemical cues; dormancy-breaking cues,Seed germination stimulation,34,NA,NA,NA,NA,Not in TOP,,germination_treatment,seed and fruit traits,morphology > reproductive > seed,
glaucous,,,leaf,morphology,,47,Variable indicating if a plant's leaves are glaucous or not,,NA,NA,NA,NA,NA,NA,Not in TOP,,leaf_glaucous,MTS/leaf traits,morphology > leaf,
growth_habit,,,whole_plant,morphology,,48,Variable that defines a combination of growth habit and plant vegetative reproductive potential,,Plant growth form,NA,NA,whole plant storage organ,TOP166,https://top-thesaurus.org/annotationInfo?viz=1&&trait=plant%20storage%20organ,20210519,partial match,,(growth form; regen),life_history > whole_plant,rework with regen_strategy; plant_growth_form
guard_cell_length,,,leaf,morphology,cellular_scale,NA,NA,,"	Stomata guard cell size",733,NA,NA,NA,NA,Not in TOP,,cell_morphology_leaf_guard_cell_length,,morphology > cellular,
huber_value,"stem, sapwood, area, leaf",cross section,whole_plant,allocation,plant_hydraulics,49,Sapwood area to leaf area ratio,,Stem sapwood cross-sectional area per supported leaf surface area (Huber value),171,NA,NA,NA,NA,Not in TOP,,huber_value,,biomass > allocation,
hydraulic_safety_margin_50,,,stem,physiology,plant_hydraulics,NA,NA,,"	Xylem hydraulic vulnerability, xylem cavitation vulnerability, embolism vulnerability, (P20, P50, P8",719,NA,NA,NA,NA,Not in TOP,,,(water transport review),physiology > water_transport,
hypocotyl_type,,,leaf,morphology,,NA,NA,,NA,NA,NA,NA,NA,NA,Not in TOP,,seedling_hypocotyl_type,,morphology > seedling,
insoluable_protein_per_area,,,leaf,nutrient,molecular,187,Mass of insoluble protein per leaf area,,NA,NA,NA,NA,NA,NA,Not in TOP,,chemical_leaf_insoluable_protein_content_per_area,,chemical > compound,
inundation_tolerance,,,whole_plant,life history,environmental_tolerance,NA,NA,,Ability of taxon to tolerate being under water,NA,NA,plant populations moisture indicator value according to Ellenberg,TOP779,https://top-thesaurus.org/annotationInfo?viz=1&&trait=Ellenberg_moisture_value,20210519,not an exact match,,(environmental tolerance),life_history > environmental_tolerance,
Jmax_per_area,,,leaf,physiology,photosystem_performance; photosynthetic,NA,NA,,Leaf photosynthesis electron transport capacity (Jmax) per leaf area (Farquhar model),269,NA,NA,NA,NA,Not in TOP,,,(gas exchange/fluor minor review),physiology > photosystem_performance,
leaf_absorption,,,leaf,physiology,light_interaction,NA,NA,,Leaf light absorption (extinction),10,NA,NA,NA,NA,Not in TOP,,,,physiology > other,
leaf_Al_per_dry_mass,,,leaf,nutrient,,50,Leaf aluminum (Al) content per unit leaf dry mass,,Leaf aluminium (Al) content per leaf dry mass,249,NA,leaf aluminium content per leaf dry mass,TOP449,https://top-thesaurus.org/annotationInfo?viz=1&&trait=Leaf_aluminium_content_per_leaf_dry_mass,20210518,,nutrient_leaf_Al_content_per_dry_mass,,chemical >element/nutrient,
leaf_angle,,,leaf,morphology,,51,"Leaf angle, relative to horizontal",,"Leaf angle (inclination, orientation)",3,NA,NA,NA,NA,2020,,leaf_angle,MTS/leaf traits,morphology > leaf,
leaf_area,,,leaf,morphology,,52,Area of the leaf surface,,"Leaf area (in case of compound leaves: leaf, undefined if petiole in- or excluded)",3112,NA,leaf area,TOP25,http://top-thesaurus.org/annotationInfo?viz=1&trait=Leaf%20area,2020,,leaf_area,,biomass > mass_or_size,
leaf_area_ratio,"leaf, area, mass, ratio",dessicate/dry/remove water,leaf,allocation,,54,Ratio of leaf area to total plant dry mass,,Leaf area per plant dry mass (leaf area ratio; LAR),109,NA,whole plant leaf area per whole plant dry mass,TOP88,https://top-thesaurus.org/annotationInfo?viz=1&&trait=Leaf_area_ratio,20210518,,leaf_area_ratio,,biomass > allocation,
leaf_arrangement,,,leaf,morphology,,55,Describes leaf arrangement on the stem,,Leaf distribution along the shoot axis (arrangement type),16,NA,NA,NA,NA,Not in TOP,,leaf_arrangement,MTS/leaf traits,morphology > leaf,
leaf_ash_content_per_dry_mass,,,leaf,nutrient,fire_response,NA,NA,,Leaf ash content per leaf dry mass,333,NA,NA,NA,NA,Not in TOP,,chemical_leaf_ash_content_per_dry_mass,,chemical > compound,
leaf_B_per_dry_mass,,,leaf,nutrient,,56,Leaf boron (B) content per unit leaf dry mass,,Leaf boron (B) content per leaf dry mass,250,NA,leaf boron content per leaf dry mass,TOP450,http://top-thesaurus.org/annotationInfo?viz=1&&trait=Leaf_boron_content_per_leaf_dry_mass,2020,,nutrient_leaf_B_content_per_dry_mass,,chemical >element/nutrient,
leaf_C_per_dry_mass,,,leaf,nutrient,,57,Leaf carbon (C) content per unit leaf dry mass,,Leaf carbon (C) content per leaf dry mass,13,NA,leaf carbon content per leaf dry mass,TOP452,http://top-thesaurus.org/annotationInfo?viz=1&&trait=Leaf_carbon_content_per_leaf_dry_mass,2020,,nutrient_leaf_C_content_per_dry_mass,,chemical >element/nutrient,
leaf_Ca_per_dry_mass,,,leaf,nutrient,,58,Leaf calcium (Ca) content per unit leaf dry mass,,Leaf calcium (Ca) content per leaf dry mass,252,NA,leaf calcium content per leaf dry mass,TOP451,http://top-thesaurus.org/annotationInfo?viz=1&&trait=Leaf_calcium_content_per_leaf_dry_mass,2020,,nutrient_leaf_Ca_content_per_dry_mass,,chemical >element/nutrient,
leaf_cell_wall_fraction,,,leaf,allocation,cellular_scale,59,Fraction of total leaf biomass that is cell wall material,,Leaf cell wall mass per leaf dry mass,3375,NA,NA,NA,NA,Not in TOP,,leaf_cell_wall_??_mass_per_leaf_??_mass,,biomass > allocation,?check if dry mass or fresh mass
leaf_cell_wall_N,,,leaf,nutrient,cellular_scale,60,Proportion of leaf cell wall material that is nitrogen,,Leaf cell wall nitrogen (N) content per leaf area,96,NA,NA,NA,NA,Not in TOP,,nutrient_cell_leaf_cell_wall_N_content_per_??_mass,,chemical >element/nutrient,need to verify if dry vs fresh mass
leaf_cell_wall_N_fraction,,,leaf,nutrient,cellular_scale,61,Proportion of all N in leaves that is found in the leaf cell walls,,Leaf cell wall nitrogen (N) content per cell wall dry mass,3376,NA,NA,NA,NA,Not in TOP,,nutrient_cell_leaf_cell_wall_N_content_per_leaf_N,,chemical >element/nutrient,
leaf_cellulose_per_dry_mass,,,leaf,nutrient,molecular,NA,NA,,"	Leaf cellulose content per leaf dry mass",92,NA,leaf cellulose content per leaf dry mass,TOP819,https://top-thesaurus.org/annotationInfo?viz=1&&trait=Leaf_cellulose%20content%20per%20leaf%20dry%20mass,20210518,,chemical_leaf_cellulose_content_per_dry_mass,,chemical > compound,
leaf_Cl_per_dry_mass,,,leaf,nutrient,,NA,NA,,Leaf chlorine (Cl) content per leaf dry mass,539,NA,leaf chlorine content per leaf dry mass,TOP453,https://top-thesaurus.org/annotationInfo?viz=1&&trait=Leaf_chlorine_content_per_leaf_dry_mass,20210518,,nutrient_leaf_Cl_content_per_dry_mass,,chemical >element/nutrient,
leaf_CN_ratio,,,leaf,nutrient,,63,Leaf carbon/nitrogen (C/N) ratio,,Leaf carbon/nitrogen (C/N) ratio,146,NA,NA,NA,NA,Not in TOP,,nutrient_leaf_CN_ratio,,chemical >element/nutrient,
leaf_Co_per_dry_mass,,,leaf,nutrient,,NA,NA,,Leaf cobalt (Co) content per leaf dry mass,253,NA,leaf cobalt content per leaf dry mass,TOP454,https://top-thesaurus.org/annotationInfo?viz=1&&trait=Leaf_cobalt_content_per_leaf_dry_mass,20210518,,nutrient_leaf_Co_content_per_dry_mass,,chemical >element/nutrient,
leaf_compoundness,,,leaf,morphology,,64,Indicates whether or not a leaf is compound; different 'simple' terminology used by different studies,,Leaf compoundness,17,NA,leaf compoundness,TOP222,https://top-thesaurus.org/annotationInfo?viz=1&&trait=Leaf_compoundness,20210518,compound/simple,leaf_compoundness,MTS/leaf traits,morphology > leaf,
leaf_Cr_per_dry_mass,,,leaf,nutrient,,NA,NA,,"	Leaf chromium (Cr) content per leaf dry mass",254,NA,NA,NA,NA,Not in TOP,,nutrient_leaf_Cr_content_per_dry_mass,,chemical >element/nutrient,
leaf_Cu_per_dry_mass,,,leaf,nutrient,,65,Leaf copper (Cu) content per unit leaf dry mass,,Leaf copper (Cu) content per leaf dry mass,255,NA,leaf copper content per leaf dry mass,TOP455,http://top-thesaurus.org/annotationInfo?viz=1&&trait=Leaf_copper_content_per_leaf_dry_mass,2020,,nutrient_leaf_Cu_content_per_dry_mass,,chemical >element/nutrient,
leaf_curliness,,,leaf,morphology,,NA,NA,,NA,NA,NA,NA,NA,NA,Not in TOP,,leaf_curliness,MTS/leaf traits,morphology > leaf,
leaf_dark_respiration_per_area,,,leaf,physiology,gas_exchange; photosynthetic,66,Leaf respiration rate per unit leaf area,,Leaf respiration rate in the dark per leaf area,54,NA,leaf dark respiration rate per leaf area,TOP361,http://top-thesaurus.org/annotationInfo?viz=1&&trait=Leaf_dark_respiration_rate_per_leaf_area,2020,,leaf_dark_respiration_rate_per_area,(gas exchange/fluor minor review),physiology > gas_exchange > respiration,
leaf_dark_respiration_per_dry_mass,,,leaf,physiology,gas_exchange; photosynthetic,67,Leaf respiration rate per unit leaf dry mass,,Leaf respiration rate in the dark per leaf dry mass,41,NA,eaf dark respiration rate per leaf dry mass,TOP362,http://top-thesaurus.org/annotationInfo?viz=1&&trait=Leaf_dark_respiration_rate_per_leaf_dry_mass,2020,,leaf_dark_respiration_rate_per_dry_mass,(gas exchange/fluor minor review),physiology > gas_exchange > respiration,
leaf_dark_transpiration_per_area,,,leaf,physiology,gas_exchange; photosynthetic,NA,NA,,"	Leaf transpiration rate at nighttime",1267,NA,NA,NA,NA,Not in TOP,,leaf_dark_transpiration_rate_per_area,(gas exchange/fluor minor review),physiology > gas_exchange > transpiration,
leaf_delta13C,,,leaf,physiology,isotope,69,Leaf carbon stable isotope signature,,Leaf carbon (C) isotope signature (delta 13C),89,NA,NA,NA,NA,Not in TOP,,isotope_delta13C_leaf,,physiology > stable_isotope_signature,
leaf_delta15N,,,leaf,physiology,isotope,70,Leaf nitrogen stable isotope signature,,Leaf nitrogen (N) isotope signature (delta 15N),78,NA,NA,NA,NA,Not in TOP,,isotope_delta15N_leaf,,physiology > stable_isotope_signature,
leaf_delta18O,,,leaf,physiology,isotope,NA,NA,,Leaf oxygen (O) isotope signature (delta 18O),3358,NA,NA,NA,NA,Not in TOP,,isotope_delta18O_leaf,,physiology > stable_isotope_signature,
leaf_division,,,leaf,morphology,,NA,NA,,NA,NA,NA,NA,NA,NA,Not in TOP,,leaf_division,MTS/leaf traits,morphology > leaf,
leaf_dry_mass,,,leaf,morphology,,72,Leaf dry mass,,Leaf dry mass (single leaf),55,NA,leaf dry mass,TOP40,http://top-thesaurus.org/annotationInfo?viz=1&&trait=Leaf_dry_mass,2020,,leaf_dry_mass,,biomass > mass_or_size,
leaf_dry_matter_content,,,leaf,allocation,,73,"Leaf dry mass per unit leaf fresh mass. (See also leaf_water_content_per_mass, the ratio of water content to leaf dry mass, recorded by some studies.)",,"Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)",47,NA,leaf dry mass per leaf fresh mass,TOP45,https://top-thesaurus.org/annotationInfo?viz=1&&trait=Leaf_dry_matter_content,20210518,,,,biomass > allocation,
leaf_Fe_per_dry_mass,,,leaf,nutrient,,75,Leaf iron (Fe) content per unit leaf dry mass,,Leaf iron (Fe) content per leaf dry mass,256,NA,leaf iron content per leaf dry mass,TOP456,http://top-thesaurus.org/annotationInfo?viz=1&&trait=Leaf_iron_content_per_leaf_dry_mass,2020,,nutrient_leaf_Fe_content_per_dry_mass,,chemical >element/nutrient,
leaf_fresh_mass,,,leaf,morphology,,77,Leaf fresh mass,,Leaf fresh mass,163,NA,leaf fresh mass,TOP35,https://top-thesaurus.org/annotationInfo?viz=1&&trait=Leaf_fresh_mass,20210518,,leaf_fresh_mass,,biomass > mass_or_size,
leaf_fresh_mass_per_area,,,leaf,allocation,,78,Leaf fresh mass per leaf area,,Leaf area per leaf fresh mass (specific leaf area (SLA or 1/LMA) based on leaf fresh mass),125,inverse,NA,NA,NA,Not in TOP,,leaf_fresh_mass_per_leaf_area,,biomass > allocation,
leaf_hairs_adult,,,leaf,morphology,,79,Binary variable describing whether or not adult leaves have hairs,,"Leaf emergences (pubescence, pruinescence, hairs, spines, thorns)",677,NA,NA,NA,NA,Not in TOP,,leaf_hairs_adult,MTS/leaf traits,morphology > leaf,
leaf_hairs_juvenile,,,leaf,morphology,,80,Binary variable describing whether or not juvenile leaves have hairs,,"Leaf emergences (pubescence, pruinescence, hairs, spines, thorns)",677,"similar, not identical",NA,NA,NA,Not in TOP,,leaf_hairs_juvenile,MTS/leaf traits,morphology > leaf,
leaf_hydraulic_conductivity,,,leaf,physiology,plant_hydraulics,NA,NA,,Leaf hydraulic conductance,748,NA,NA,NA,NA,Not in TOP,,,(water transport review),physiology > water_transport > conductivity,
leaf_hydraulic_vulnerability,,,leaf,physiology,plant_hydraulics,82,The leaf water potential value at which leaf hydraulic conductance have declined by 50% from the mean maximum rate,,"Xylem hydraulic vulnerability, xylem cavitation vulnerability, embolism vulnerability, (P20, P50, P8",719,NA,NA,NA,NA,Not in TOP,,,(water transport review),physiology > water_transport,
leaf_K_per_area,,,leaf,nutrient,,83,Leaf potassium (K) content per unit leaf area,,Leaf potassium (K) content per leaf area,52,NA,leaf potassium content per leaf area,TOP483,http://top-thesaurus.org/annotationInfo?viz=1&&trait=Leaf_potassium_content_per_leaf_area,2020,,nutrient_leaf_K_content_per_area,,chemical >element/nutrient,
leaf_K_per_dry_mass,,,leaf,nutrient,,84,Leaf potassium (K) content per unit leaf dry mass,,Leaf potassium (K) content per leaf dry mass,44,NA,leaf potassium content per leaf dry mass,TOP464,http://top-thesaurus.org/annotationInfo?viz=1&&trait=Leaf_potassium_content_per_leaf_dry_mass,2020,,nutrient_leaf_K_content_per_dry_mass,,chemical >element/nutrient,
leaf_length,,,leaf,morphology,,85,"Length of the leaf, including petiole and rachis in compound leaves",,Leaf length,144,NA,leaf length,TOP13,http://top-thesaurus.org/annotationInfo?viz=1&&trait=Leaf_length,2020,,leaf_length,,biomass > mass_or_size,
leaf_lifespan,,,leaf,life history,,86,Leaf lifespan (longevity),,Leaf lifespan (longevity),12,NA,leaf life span,TOP254,http://top-thesaurus.org/annotationInfo?viz=1&&trait=Leaf_life_span,2020,,leaf_lifespan,,allocation? life_history?,
leaf_light_respiration_per_area,,,leaf,physiology,gas_exchange; photosynthetic,68,Leaf respiration rate per unit leaf area under light,,Leaf respiration rate in light per leaf area,512,NA,NA,NA,NA,Not in TOP,,leaf_light_respiration_rate_per_area,(gas exchange/fluor minor review),physiology > gas_exchange > respiration,
leaf_lignin_per_dry_mass,,,leaf,nutrient,molecular,87,Leaf lignin per unit leaf dry mass,,Leaf lignin content per leaf dry mass,87,NA,leaf lignin content per leaf dry mass,TOP844,http://top-thesaurus.org/annotationInfo?viz=1&&trait=Leaf_lignin_content_per_leaf_dry_mass,2020,,chemical_leaf_lignin_content_per_dry_mass,,chemical > compound,
leaf_margin,,,leaf,morphology,,88,Description of leaf margin are lobed versus entire. Trait values could be expanded to include toothed as a separate category,,Leaf margin type,963,NA,NA,NA,NA,Not in TOP,,leaf_margin,MTS/leaf traits,morphology > leaf,
leaf_mass_fraction,,,whole_plant,allocation,,89,Ratio of leaf dry mass to total plant dry mass,,"Plant biomass and allometry: Leaf dry mass per plant dry mass (leaf weight ratio, LWR)",110,NA,whole plant leaf dry mass per whole plant dry mass,TOP85,https://top-thesaurus.org/annotationInfo?viz=1&&trait=Leaf_mass_ratio,20210518,,,,biomass > allocation,
leaf_mass_to_stem_mass,,,whole_plant,allocation,,NA,NA,,NA,NA,NA,NA,NA,NA,Not in TOP,,leaf_mass_to_stem_mass,,biomass > allocation,
leaf_mesophyll_conductance_per_area,,,leaf,physiology,gas_exchange; photosynthetic,NA,NA,,Leaf mesophyll conductance,964,NA,NA,NA,NA,Not in TOP,,leaf_mesophyll_conductance_per_area,(gas exchange/fluor minor review),physiology > gas_exchange > conductance,
leaf_mesophyll_conductance_per_mass,,,leaf,physiology,gas_exchange; photosynthetic,NA,NA,,Leaf mesophyll conductance,964,NA,NA,NA,NA,Not in TOP,,leaf_mesophyll_conductance_per_mass,(gas exchange/fluor minor review),physiology > gas_exchange > conductance,
leaf_Mg_per_dry_mass,,,leaf,nutrient,,90,Leaf magnesium (Mg) content per unit leaf dry mass,,Leaf magnesium (Mg) content per leaf dry mass,257,NA,leaf magnesium content per leaf dry mass,TOP457,http://top-thesaurus.org/annotationInfo?viz=1&&trait=Leaf_magnesium_content_per_leaf_dry_mass,2020,,nutrient_leaf_Mg_content_per_dry_mass,,chemical >element/nutrient,
leaf_Mn_per_dry_mass,,,leaf,nutrient,,91,Leaf manganese (Mn) content per unit leaf dry mass,,Leaf manganese (Mn) content per leaf dry mass,258,NA,leaf manganese content per leaf dry mass,TOP458,http://top-thesaurus.org/annotationInfo?viz=1&&trait=Leaf_manganese_content_per_leaf_dry_mass,2020,,nutrient_leaf_Mn_content_per_dry_mass,,chemical >element/nutrient,
leaf_Mo_per_dry_mass,,,leaf,nutrient,,92,Leaf molybdenum (Mo) content per unit leaf dry mass,,Leaf molybdenum (Mo) content per leaf dry mass,259,NA,leaf molybdenum content per leaf dry mass,TOP459,http://top-thesaurus.org/annotationInfo?viz=1&&trait=Leaf_molybdenum_content_per_leaf_dry_mass,2020,,nutrient_leaf_Mo_content_per_dry_mass,,chemical >element/nutrient,
leaf_N_per_area,,,leaf,nutrient,,93,Leaf nitrogen (N) content per unit leaf area,,Leaf nitrogen (N) content per leaf area,50,NA,leaf nitrogen content per leaf area,TOP481,http://top-thesaurus.org/annotationInfo?viz=1&&trait=Leaf_nitrogen_content_per_leaf_area,2020,,nutrient_leaf_N_content_per_area,,chemical >element/nutrient,
leaf_N_per_dry_mass,,,leaf,nutrient,,94,Leaf nitrogen (N) content per unit leaf dry mass,,Leaf nitrogen (N) content per leaf dry mass,14,NA,leaf nitrogen content per leaf dry mass,TOP462,http://top-thesaurus.org/annotationInfo?viz=1&&trait=Leaf_nitrogen_content_per_leaf_dry_mass,2020,,nutrient_leaf_N_content_per_dry_mass,,chemical >element/nutrient,
leaf_Na_per_dry_mass,,,leaf,nutrient,,95,Leaf sodium (Na) content per unit leaf dry mass,,Leaf sodium (Na) content per leaf dry mass,260,NA,leaf sodium content per leaf dry mass,TOP460,http://top-thesaurus.org/annotationInfo?viz=1&&trait=Leaf_sodium_content_per_leaf_dry_mass,2020,,nutrient_leaf_Na_content_per_dry_mass,,chemical >element/nutrient,
